itemid,property,value
100001,category,cat_16
100002,category,cat_20
100003,category,cat_16
100004,category,cat_15
100005,category,cat_19
100006,category,cat_19
100007,category,cat_20
100008,category,cat_15
100009,category,cat_8
100010,category,cat_6
100011,category,cat_1
100012,category,cat_9
100013,category,cat_10
100014,category,cat_4
100015,category,cat_1
100016,category,cat_20
100017,category,cat_14
100018,category,cat_16
100019,category,cat_11
100020,category,cat_6
100021,category,cat_15
100022,category,cat_13
100023,category,cat_9
100024,category,cat_20
100025,category,cat_9
100026,category,cat_14
100027,category,cat_12
100028,category,cat_4
100029,category,cat_8
100030,category,cat_9
100031,category,cat_13
100032,category,cat_18
100033,category,cat_20
100034,category,cat_16
100035,category,cat_19
100036,category,cat_1
100037,category,cat_7
100038,category,cat_12
100039,category,cat_6
100040,category,cat_10
100041,category,cat_3
100042,category,cat_15
100043,category,cat_16
100044,category,cat_15
100045,category,cat_7
100046,category,cat_5
100047,category,cat_1
100048,category,cat_13
100049,category,cat_2
100050,category,cat_14
100051,category,cat_15
100052,category,cat_12
100053,category,cat_4
100054,category,cat_17
100055,category,cat_12
100056,category,cat_7
100057,category,cat_18
100058,category,cat_13
100059,category,cat_13
100060,category,cat_18
100061,category,cat_1
100062,category,cat_9
100063,category,cat_3
100064,category,cat_11
100065,category,cat_5
100066,category,cat_20
100067,category,cat_9
100068,category,cat_10
100069,category,cat_12
100070,category,cat_20
100071,category,cat_14
100072,category,cat_10
100073,category,cat_12
100074,category,cat_19
100075,category,cat_2
100076,category,cat_14
100077,category,cat_5
100078,category,cat_19
100079,category,cat_3
100080,category,cat_19
100081,category,cat_14
100082,category,cat_19
100083,category,cat_17
100084,category,cat_8
100085,category,cat_14
100086,category,cat_9
100087,category,cat_7
100088,category,cat_9
100089,category,cat_18
100090,category,cat_7
100091,category,cat_4
100092,category,cat_8
100093,category,cat_17
100094,category,cat_15
100095,category,cat_2
100096,category,cat_10
100097,category,cat_18
100098,category,cat_12
100099,category,cat_6
100100,category,cat_10
100101,category,cat_14
100102,category,cat_5
100103,category,cat_9
100104,category,cat_9
100105,category,cat_13
100106,category,cat_1
100107,category,cat_19
100108,category,cat_4
100109,category,cat_5
100110,category,cat_1
100111,category,cat_1
100112,category,cat_10
100113,category,cat_15
100114,category,cat_10
100115,category,cat_12
100116,category,cat_13
100117,category,cat_7
100118,category,cat_2
100119,category,cat_11
100120,category,cat_13
100121,category,cat_2
100122,category,cat_1
100123,category,cat_8
100124,category,cat_17
100125,category,cat_3
100126,category,cat_11
100127,category,cat_11
100128,category,cat_5
100129,category,cat_9
100130,category,cat_12
100131,category,cat_18
100132,category,cat_11
100133,category,cat_20
100134,category,cat_13
100135,category,cat_18
100136,category,cat_16
100137,category,cat_13
100138,category,cat_13
100139,category,cat_14
100140,category,cat_18
100141,category,cat_13
100142,category,cat_14
100143,category,cat_14
100144,category,cat_11
100145,category,cat_20
100146,category,cat_9
100147,category,cat_2
100148,category,cat_20
100149,category,cat_10
100150,category,cat_12
100151,category,cat_18
100152,category,cat_18
100153,category,cat_13
100154,category,cat_9
100155,category,cat_3
100156,category,cat_4
100157,category,cat_16
100158,category,cat_2
100159,category,cat_11
100160,category,cat_5
100161,category,cat_17
100162,category,cat_2
100163,category,cat_11
100164,category,cat_3
100165,category,cat_2
100166,category,cat_4
100167,category,cat_2
100168,category,cat_4
100169,category,cat_8
100170,category,cat_4
100171,category,cat_2
100172,category,cat_10
100173,category,cat_20
100174,category,cat_16
100175,category,cat_4
100176,category,cat_2
100177,category,cat_6
100178,category,cat_19
100179,category,cat_4
100180,category,cat_10
100181,category,cat_17
100182,category,cat_12
100183,category,cat_16
100184,category,cat_17
100185,category,cat_19
100186,category,cat_18
100187,category,cat_8
100188,category,cat_1
100189,category,cat_5
100190,category,cat_11
100191,category,cat_16
100192,category,cat_12
100193,category,cat_16
100194,category,cat_9
100195,category,cat_5
100196,category,cat_5
100197,category,cat_1
100198,category,cat_4
100199,category,cat_8
100200,category,cat_10
100201,category,cat_15
100202,category,cat_17
100203,category,cat_4
100204,category,cat_5
100205,category,cat_6
100206,category,cat_15
100207,category,cat_20
100208,category,cat_18
100209,category,cat_6
100210,category,cat_20
100211,category,cat_18
100212,category,cat_8
100213,category,cat_4
100214,category,cat_14
100215,category,cat_2
100216,category,cat_20
100217,category,cat_17
100218,category,cat_17
100219,category,cat_1
100220,category,cat_17
100221,category,cat_1
100222,category,cat_18
100223,category,cat_10
100224,category,cat_15
100225,category,cat_4
100226,category,cat_18
100227,category,cat_1
100228,category,cat_11
100229,category,cat_3
100230,category,cat_17
100231,category,cat_9
100232,category,cat_11
100233,category,cat_12
100234,category,cat_10
100235,category,cat_19
100236,category,cat_1
100237,category,cat_20
100238,category,cat_16
100239,category,cat_10
100240,category,cat_5
100241,category,cat_9
100242,category,cat_11
100243,category,cat_20
100244,category,cat_8
100245,category,cat_19
100246,category,cat_15
100247,category,cat_14
100248,category,cat_20
100249,category,cat_13
100250,category,cat_11
100251,category,cat_19
100252,category,cat_1
100253,category,cat_15
100254,category,cat_10
100255,category,cat_12
100256,category,cat_12
100257,category,cat_10
100258,category,cat_6
100259,category,cat_2
100260,category,cat_16
100261,category,cat_11
100262,category,cat_13
100263,category,cat_20
100264,category,cat_6
100265,category,cat_7
100266,category,cat_7
100267,category,cat_2
100268,category,cat_18
100269,category,cat_7
100270,category,cat_19
100271,category,cat_8
100272,category,cat_7
100273,category,cat_7
100274,category,cat_8
100275,category,cat_19
100276,category,cat_4
100277,category,cat_4
100278,category,cat_11
100279,category,cat_11
100280,category,cat_4
100281,category,cat_19
100282,category,cat_4
100283,category,cat_11
100284,category,cat_14
100285,category,cat_16
100286,category,cat_2
100287,category,cat_14
100288,category,cat_7
100289,category,cat_12
100290,category,cat_12
100291,category,cat_1
100292,category,cat_1
100293,category,cat_1
100294,category,cat_14
100295,category,cat_8
100296,category,cat_19
100297,category,cat_11
100298,category,cat_18
100299,category,cat_8
100300,category,cat_9
100301,category,cat_15
100302,category,cat_11
100303,category,cat_9
100304,category,cat_19
100305,category,cat_15
100306,category,cat_19
100307,category,cat_8
100308,category,cat_19
100309,category,cat_1
100310,category,cat_15
100311,category,cat_15
100312,category,cat_2
100313,category,cat_10
100314,category,cat_10
100315,category,cat_16
100316,category,cat_13
100317,category,cat_11
100318,category,cat_11
100319,category,cat_5
100320,category,cat_18
100321,category,cat_12
100322,category,cat_14
100323,category,cat_18
100324,category,cat_5
100325,category,cat_6
100326,category,cat_15
100327,category,cat_4
100328,category,cat_11
100329,category,cat_3
100330,category,cat_6
100331,category,cat_5
100332,category,cat_1
100333,category,cat_1
100334,category,cat_14
100335,category,cat_11
100336,category,cat_17
100337,category,cat_12
100338,category,cat_19
100339,category,cat_17
100340,category,cat_1
100341,category,cat_13
100342,category,cat_17
100343,category,cat_7
100344,category,cat_6
100345,category,cat_9
100346,category,cat_15
100347,category,cat_15
100348,category,cat_11
100349,category,cat_18
100350,category,cat_6
100351,category,cat_6
100352,category,cat_7
100353,category,cat_18
100354,category,cat_15
100355,category,cat_1
100356,category,cat_10
100357,category,cat_12
100358,category,cat_7
100359,category,cat_6
100360,category,cat_3
100361,category,cat_12
100362,category,cat_3
100363,category,cat_3
100364,category,cat_13
100365,category,cat_2
100366,category,cat_3
100367,category,cat_11
100368,category,cat_6
100369,category,cat_2
100370,category,cat_9
100371,category,cat_5
100372,category,cat_9
100373,category,cat_8
100374,category,cat_14
100375,category,cat_16
100376,category,cat_14
100377,category,cat_11
100378,category,cat_4
100379,category,cat_3
100380,category,cat_5
100381,category,cat_20
100382,category,cat_5
100383,category,cat_15
100384,category,cat_17
100385,category,cat_19
100386,category,cat_2
100387,category,cat_13
100388,category,cat_14
100389,category,cat_17
100390,category,cat_8
100391,category,cat_13
100392,category,cat_8
100393,category,cat_15
100394,category,cat_4
100395,category,cat_16
100396,category,cat_8
100397,category,cat_20
100398,category,cat_4
100399,category,cat_9
100400,category,cat_4
100401,category,cat_10
100402,category,cat_5
100403,category,cat_15
100404,category,cat_15
100405,category,cat_14
100406,category,cat_15
100407,category,cat_17
100408,category,cat_16
100409,category,cat_5
100410,category,cat_17
100411,category,cat_11
100412,category,cat_12
100413,category,cat_1
100414,category,cat_17
100415,category,cat_16
100416,category,cat_18
100417,category,cat_4
100418,category,cat_7
100419,category,cat_8
100420,category,cat_5
100421,category,cat_11
100422,category,cat_2
100423,category,cat_8
100424,category,cat_8
100425,category,cat_11
100426,category,cat_9
100427,category,cat_1
100428,category,cat_19
100429,category,cat_6
100430,category,cat_17
100431,category,cat_5
100432,category,cat_17
100433,category,cat_12
100434,category,cat_16
100435,category,cat_2
100436,category,cat_8
100437,category,cat_11
100438,category,cat_2
100439,category,cat_18
100440,category,cat_19
100441,category,cat_18
100442,category,cat_14
100443,category,cat_11
100444,category,cat_4
100445,category,cat_10
100446,category,cat_2
100447,category,cat_16
100448,category,cat_16
100449,category,cat_8
100450,category,cat_18
100451,category,cat_9
100452,category,cat_8
100453,category,cat_2
100454,category,cat_7
100455,category,cat_20
100456,category,cat_9
100457,category,cat_4
100458,category,cat_8
100459,category,cat_13
100460,category,cat_6
100461,category,cat_12
100462,category,cat_13
100463,category,cat_17
100464,category,cat_8
100465,category,cat_13
100466,category,cat_8
100467,category,cat_10
100468,category,cat_4
100469,category,cat_18
100470,category,cat_19
100471,category,cat_6
100472,category,cat_13
100473,category,cat_1
100474,category,cat_18
100475,category,cat_13
100476,category,cat_11
100477,category,cat_18
100478,category,cat_19
100479,category,cat_12
100480,category,cat_6
100481,category,cat_1
100482,category,cat_12
100483,category,cat_6
100484,category,cat_11
100485,category,cat_7
100486,category,cat_11
100487,category,cat_18
100488,category,cat_19
100489,category,cat_18
100490,category,cat_14
100491,category,cat_4
100492,category,cat_14
100493,category,cat_20
100494,category,cat_8
100495,category,cat_17
100496,category,cat_5
100497,category,cat_10
100498,category,cat_10
100499,category,cat_10
100500,category,cat_1
